Vijay Nagar-Sv;"""Vijay Nagar-Sv"",";;Vijay Nagar-Sv;"""Vijay Nagar-Sv"","
Guru Teg Bahadur Nagar-Skv;"""Guru Teg Bahadur Nagar-Skv"",";;Guru Teg Bahadur Nagar-Skv;"""Guru Teg Bahadur Nagar-Skv"","
New Generation Comp Pu College;"""New Generation Comp Pu College"",";;New Generation Comp Pu College;"""New Generation Comp Pu College"","
Dhakka-Skv;"""Dhakka-Skv"",";;Dhakka-Skv;"""Dhakka-Skv"","
Dhakka-Gbsss;"""Dhakka-Gbsss"",";;Dhakka-Gbsss;"""Dhakka-Gbsss"","
Guru Teg Bahadur Nagar-Gbsss;"""Guru Teg Bahadur Nagar-Gbsss"",";;Guru Teg Bahadur Nagar-Gbsss;"""Guru Teg Bahadur Nagar-Gbsss"","
Rama Devi Public School;"""Rama Devi Public School"",";;Rama Devi Public School;"""Rama Devi Public School"","
Gopal Park-G(Co-Ed)Sss;"""Gopal Park-G(Co-Ed)Sss"",";;Gopal Park-G(Co-Ed)Sss;"""Gopal Park-G(Co-Ed)Sss"","
Azadpur Village-Gbss;"""Azadpur Village-Gbss"",";;Azadpur Village-Gbss;"""Azadpur Village-Gbss"","
Azadpur Village-Ggss;"""Azadpur Village-Ggss"",";;Azadpur Village-Ggss;"""Azadpur Village-Ggss"","
Adarsh Nagar, No.2-Gbsss;"""Adarsh Nagar, No.2-Gbsss"",";;Adarsh Nagar, No.2-Gbsss;"""Adarsh Nagar, No.2-Gbsss"","
Majlis Park-Ggss;"""Majlis Park-Ggss"",";;Majlis Park-Ggss;"""Majlis Park-Ggss"","
Adarsh Nagar-Ggsss;"""Adarsh Nagar-Ggsss"",";;Adarsh Nagar-Ggsss;"""Adarsh Nagar-Ggsss"","
Adarsh Nagar-Skv;"""Adarsh Nagar-Skv"",";;Adarsh Nagar-Skv;"""Adarsh Nagar-Skv"","
Adarsh Nagar, No.1-Gbsss;"""Adarsh Nagar, No.1-Gbsss"",";;Adarsh Nagar, No.1-Gbsss;"""Adarsh Nagar, No.1-Gbsss"","
Jahangirpuri, Block A-Gbsss;"""Jahangirpuri, Block A-Gbsss"",";;Jahangirpuri, Block A-Gbsss;"""Jahangirpuri, Block A-Gbsss"","
Jahangirpuri, Block A-Ggsss;"""Jahangirpuri, Block A-Ggsss"",";;Jahangirpuri, Block A-Ggsss;"""Jahangirpuri, Block A-Ggsss"","
Jahangirpuri, Plot No.5, A-Block- Gskv;"""Jahangirpuri, Plot No.5, A-Block- Gskv"",";;Jahangirpuri, Plot No.5, A-Block- Gskv;"""Jahangirpuri, Plot No.5, A-Block- Gskv"","
Bhalswa Village- G(Co-Ed)Ms;"""Bhalswa Village- G(Co-Ed)Ms"",";;Bhalswa Village- G(Co-Ed)Ms;"""Bhalswa Village- G(Co-Ed)Ms"","
Pitampura, Block Su-Gbsss;"""Pitampura, Block Su-Gbsss"",";;Pitampura, Block Su-Gbsss;"""Pitampura, Block Su-Gbsss"","
Samaipur-Ggsss;"""Samaipur-Ggsss"",";;Samaipur-Ggsss;"""Samaipur-Ggsss"","
Sri Krishna Pu College;"""Sri Krishna Pu College"",";;Sri Krishna Pu College;"""Sri Krishna Pu College"","
Badli-Skv;"""Badli-Skv"",";;Badli-Skv;"""Badli-Skv"","
Badli-Gbsss;"""Badli-Gbsss"",";;Badli-Gbsss;"""Badli-Gbsss"","
Libaspur-Ggss;"""Libaspur-Ggss"",";;Libaspur-Ggss;"""Libaspur-Ggss"","
Libaspur-Gbss;"""Libaspur-Gbss"",";;Libaspur-Gbss;"""Libaspur-Gbss"","
Siraspur-G(Co-Ed)Sss;"""Siraspur-G(Co-Ed)Sss"",";;Siraspur-G(Co-Ed)Sss;"""Siraspur-G(Co-Ed)Sss"","
Siraspur-Gbsss;"""Siraspur-Gbsss"",";;Siraspur-Gbsss;"""Siraspur-Gbsss"","
Jahangirpuri, Block K-Ggsss;"""Jahangirpuri, Block K-Ggsss"",";;Jahangirpuri, Block K-Ggsss;"""Jahangirpuri, Block K-Ggsss"","
Gbss No-2, Jj Colony Bhalswa Dairy;"""Gbss No-2, Jj Colony Bhalswa Dairy"",";;Gbss No-2, Jj Colony Bhalswa Dairy;"""Gbss No-2, Jj Colony Bhalswa Dairy"","
Sec16,Rohini-Pkt A-Gs(Co-Ed)Vs;"""Sec16,Rohini-Pkt A-Gs(Co-Ed)Vs"",";;Sec16,Rohini-Pkt A-Gs(Co-Ed)Vs;"""Sec16,Rohini-Pkt A-Gs(Co-Ed)Vs"","
Prashant Vihar-Skv;"""Prashant Vihar-Skv"",";;Prashant Vihar-Skv;"""Prashant Vihar-Skv"","
Rohini, Sector 11-G(Co-Ed)Sss;"""Rohini, Sector 11-G(Co-Ed)Sss"",";;Rohini, Sector 11-G(Co-Ed)Sss;"""Rohini, Sector 11-G(Co-Ed)Sss"","
Sec9Rohini-Sv(Saheedcapt.S.Dahiya);"""Sec9Rohini-Sv(Saheedcapt.S.Dahiya)"",";;Sec9Rohini-Sv(Saheedcapt.S.Dahiya);"""Sec9Rohini-Sv(Saheedcapt.S.Dahiya)"","
Gbsss, Rohini, Sector 16, Pocket A;"""Gbsss, Rohini, Sector 16, Pocket A"",";;Gbsss, Rohini, Sector 16, Pocket A;"""Gbsss, Rohini, Sector 16, Pocket A"","
Rohini, Sect-15, Pkt-F&G- G (Co-Ed) Ms;"""Rohini, Sect-15, Pkt-F&G- G (Co-Ed) Ms"",";;Rohini, Sect-15, Pkt-F&G- G (Co-Ed) Ms;"""Rohini, Sect-15, Pkt-F&G- G (Co-Ed) Ms"","
Rohini,Sect-16, Pkt-D- Gbms;"""Rohini,Sect-16, Pkt-D- Gbms"",";;Rohini,Sect-16, Pkt-D- Gbms;"""Rohini,Sect-16, Pkt-D- Gbms"","
Rohini,Sect-16, Pkt-D- Ggms;"""Rohini,Sect-16, Pkt-D- Ggms"",";;Rohini,Sect-16, Pkt-D- Ggms;"""Rohini,Sect-16, Pkt-D- Ggms"","
Rohini, Sect-24 - Gbms;"""Rohini, Sect-24 - Gbms"",";;Rohini, Sect-24 - Gbms;"""Rohini, Sect-24 - Gbms"","
Rohini, Sector 11-Rpvv;"""Rohini, Sector 11-Rpvv"",";;Rohini, Sector 11-Rpvv;"""Rohini, Sector 11-Rpvv"","
Rithala-Skv;"""Rithala-Skv"",";;Rithala-Skv;"""Rithala-Skv"","
Rohini, Avantika, Sector 1-Gbss;"""Rohini, Avantika, Sector 1-Gbss"",";;Rohini, Avantika, Sector 1-Gbss;"""Rohini, Avantika, Sector 1-Gbss"","
Rithala-Gbsss;"""Rithala-Gbsss"",";;Rithala-Gbsss;"""Rithala-Gbsss"","
Rohini, Sector 6-Sv;"""Rohini, Sector 6-Sv"",";;Rohini, Sector 6-Sv;"""Rohini, Sector 6-Sv"","
Rohini, Avantika, Sector 1-Ggss;"""Rohini, Avantika, Sector 1-Ggss"",";;Rohini, Avantika, Sector 1-Ggss;"""Rohini, Avantika, Sector 1-Ggss"","
Rohini, Avantika, Sector 1-Skv;"""Rohini, Avantika, Sector 1-Skv"",";;Rohini, Avantika, Sector 1-Skv;"""Rohini, Avantika, Sector 1-Skv"","
Rohini, Avantika, Sector 1-Gbsss;"""Rohini, Avantika, Sector 1-Gbsss"",";;Rohini, Avantika, Sector 1-Gbsss;"""Rohini, Avantika, Sector 1-Gbsss"","
Rohiniextn.,Sec-20-G(Co-Ed)Sss;"""Rohiniextn.,Sec-20-G(Co-Ed)Sss"",";;Rohiniextn.,Sec-20-G(Co-Ed)Sss;"""Rohiniextn.,Sec-20-G(Co-Ed)Sss"","
Pooth Kalan-Skv;"""Pooth Kalan-Skv"",";;Pooth Kalan-Skv;"""Pooth Kalan-Skv"","
Pooth Kalan-Sbv;"""Pooth Kalan-Sbv"",";;Pooth Kalan-Sbv;"""Pooth Kalan-Sbv"","
Pooth Kalan Rohini Ext Sec 20-Gbsss;"""Pooth Kalan Rohini Ext Sec 20-Gbsss"",";;Pooth Kalan Rohini Ext Sec 20-Gbsss;"""Pooth Kalan Rohini Ext Sec 20-Gbsss"","
Shabad Daulatpur,G Co-Ed S School;"""Shabad Daulatpur,G Co-Ed S School"",";;Shabad Daulatpur,G Co-Ed S School;"""Shabad Daulatpur,G Co-Ed S School"","
Shahabad Dairy-Gbss;"""Shahabad Dairy-Gbss"",";;Shahabad Dairy-Gbss;"""Shahabad Dairy-Gbss"","
Prahalad Pur-Sbv;"""Prahalad Pur-Sbv"",";;Prahalad Pur-Sbv;"""Prahalad Pur-Sbv"","
Shahbad Daulatpur- Gbsss;"""Shahbad Daulatpur- Gbsss"",";;Shahbad Daulatpur- Gbsss;"""Shahbad Daulatpur- Gbsss"","
Begampur, Ggss;"""Begampur, Ggss"",";;Begampur, Ggss;"""Begampur, Ggss"","
Begumpur-Gbss;"""Begumpur-Gbss"",";;Begumpur-Gbss;"""Begumpur-Gbss"","
Barwala-G(Co-Ed)Ss;"""Barwala-G(Co-Ed)Ss"",";;Barwala-G(Co-Ed)Ss;"""Barwala-G(Co-Ed)Ss"","
Poothkhurd-Skv (Raja Rammohan Roy);"""Poothkhurd-Skv (Raja Rammohan Roy)"",";;Poothkhurd-Skv (Raja Rammohan Roy);"""Poothkhurd-Skv (Raja Rammohan Roy)"","
New Sun P/S;"""New Sun P/S"",";;New Sun P/S;"""New Sun P/S"","
Pooth Khurd-Gbsss;"""Pooth Khurd-Gbsss"",";;Pooth Khurd-Gbsss;"""Pooth Khurd-Gbsss"","
Punnjab Khore-G(Co-Ed)Ms;"""Punnjab Khore-G(Co-Ed)Ms"",";;Punnjab Khore-G(Co-Ed)Ms;"""Punnjab Khore-G(Co-Ed)Ms"","
Qutabgarh-Skv;"""Qutabgarh-Skv"",";;Qutabgarh-Skv;"""Qutabgarh-Skv"","
Chandpur Majra-Sv;"""Chandpur Majra-Sv"",";;Chandpur Majra-Sv;"""Chandpur Majra-Sv"","
Bawana Jj Cly No.2 Govt. Co-Ed Sec;"""Bawana Jj Cly No.2 Govt. Co-Ed Sec"",";;Bawana Jj Cly No.2 Govt. Co-Ed Sec;"""Bawana Jj Cly No.2 Govt. Co-Ed Sec"","
Bawana Jj Cly No.1 Govt. Co-Ed Sec;"""Bawana Jj Cly No.1 Govt. Co-Ed Sec"",";;Bawana Jj Cly No.1 Govt. Co-Ed Sec;"""Bawana Jj Cly No.1 Govt. Co-Ed Sec"","
Auchandi-Sv;"""Auchandi-Sv"",";;Auchandi-Sv;"""Auchandi-Sv"","
Bawana-Skv (Ravi Shankar);"""Bawana-Skv (Ravi Shankar)"",";;Bawana-Skv (Ravi Shankar);"""Bawana-Skv (Ravi Shankar)"","
Dariyapur Kalan-Skv (Updesh Kaur);"""Dariyapur Kalan-Skv (Updesh Kaur)"",";;Dariyapur Kalan-Skv (Updesh Kaur);"""Dariyapur Kalan-Skv (Updesh Kaur)"","
Prahalad Pur-Skv;"""Prahalad Pur-Skv"",";;Prahalad Pur-Skv;"""Prahalad Pur-Skv"","
Harewali-G(Co-Ed)Ss;"""Harewali-G(Co-Ed)Ss"",";;Harewali-G(Co-Ed)Ss;"""Harewali-G(Co-Ed)Ss"","
Shahabad Dairy-G(Co-Ed)Sss;"""Shahabad Dairy-G(Co-Ed)Sss"",";;Shahabad Dairy-G(Co-Ed)Sss;"""Shahabad Dairy-G(Co-Ed)Sss"","
Bawana-Gbsss;"""Bawana-Gbsss"",";;Bawana-Gbsss;"""Bawana-Gbsss"","
Katewara-Gbsss;"""Katewara-Gbsss"",";;Katewara-Gbsss;"""Katewara-Gbsss"","
Nangal Thakran-Sbv;"""Nangal Thakran-Sbv"",";;Nangal Thakran-Sbv;"""Nangal Thakran-Sbv"","
Jaunti-Sv;"""Jaunti-Sv"",";;Jaunti-Sv;"""Jaunti-Sv"","
Karala-Gbsss;"""Karala-Gbsss"",";;Karala-Gbsss;"""Karala-Gbsss"","
Karala-Skv;"""Karala-Skv"",";;Karala-Skv;"""Karala-Skv"","
Kanjhawala-Skv;"""Kanjhawala-Skv"",";;Kanjhawala-Skv;"""Kanjhawala-Skv"","
Ladpur-Gbms;"""Ladpur-Gbms"",";;Ladpur-Gbms;"""Ladpur-Gbms"","
Sawada(Ghevra)H-Blk,S(Co-Ed)M.S;"""Sawada(Ghevra)H-Blk,S(Co-Ed)M.S"",";;Sawada(Ghevra)H-Blk,S(Co-Ed)M.S;"""Sawada(Ghevra)H-Blk,S(Co-Ed)M.S"","
Sawada(Ghevra)A-Blk,S(Co-Ed)S.V;"""Sawada(Ghevra)A-Blk,S(Co-Ed)S.V"",";;Sawada(Ghevra)A-Blk,S(Co-Ed)S.V;"""Sawada(Ghevra)A-Blk,S(Co-Ed)S.V"","
Sawada(Ghevra)Jj-B-Blk,S(Co-Ed)M.V;"""Sawada(Ghevra)Jj-B-Blk,S(Co-Ed)M.V"",";;Sawada(Ghevra)Jj-B-Blk,S(Co-Ed)M.V;"""Sawada(Ghevra)Jj-B-Blk,S(Co-Ed)M.V"","
Nizam Pur-G(Co-Ed)Ss;"""Nizam Pur-G(Co-Ed)Ss"",";;Nizam Pur-G(Co-Ed)Ss;"""Nizam Pur-G(Co-Ed)Ss"","
Ghevra-Sv;"""Ghevra-Sv"",";;Ghevra-Sv;"""Ghevra-Sv"","
Mubarikpur Dabas-Ggss;"""Mubarikpur Dabas-Ggss"",";;Mubarikpur Dabas-Ggss;"""Mubarikpur Dabas-Ggss"","
Rani Khera-S(Co-Ed)V;"""Rani Khera-S(Co-Ed)V"",";;Rani Khera-S(Co-Ed)V;"""Rani Khera-S(Co-Ed)V"","
Mubarakpur Dabas-Gbss;"""Mubarakpur Dabas-Gbss"",";;Mubarakpur Dabas-Gbss;"""Mubarakpur Dabas-Gbss"","
Savda-Ghevra J.J.Cly- Sbv;"""Savda-Ghevra J.J.Cly- Sbv"",";;Savda-Ghevra J.J.Cly- Sbv;"""Savda-Ghevra J.J.Cly- Sbv"","
